Name,Original Price,Discount %,Product URL,Image URL
Walking Shoes with Lace Fastening,1691,81%,https://www.ajio.com/red-tape-walking-shoes-with-lace-fastening-/p/466669610_white?,https://assets.ajio.com/medias/sys_master/root/20241014/6br7/670ceabff9b8ef490bb76e45/red_tape_black_white_walking_shoes_with_lace_fastening.jpg
Women Lace-Up Sneakers Mid Tops,3188,15%,https://www.ajio.com/sole-mates-by-palak-women-lace-up-sneakers-mid-tops/p/701701374_copper?,https://assets.ajio.com/medias/sys_master/root/20250609/GvLp/68463d6855340d4b4f93f6d1/sole_mates_by_palak_mettalic_copper_women_lace-up_sneakers_mid_tops.jpg
Men Smashic Soft Suede Sneakers,1710,62%,https://www.ajio.com/puma-men-smashic-soft-suede-sneakers/p/465654605_white?,https://assets.ajio.com/medias/sys_master/root/20250304/bk2x/67c6c9532960820c49cb517d/puma_white_men_smashic_soft_suede_sneakers.jpg
Air Max Alpha Lace-Up Training Shoes,8495,N/A,https://www.ajio.com/nike-air-max-alpha-lace-up-training-shoes/p/469763411_blackgrey?,https://assets.ajio.com/medias/sys_master/root/20250714/gpfJ/6874e18bb13fc54edd24fb20/nike_black_%26_grey_air_max_alpha_lace-up_training_shoes.jpg
Women Embroidered Lace-Up Sneakers,3188,15%,https://www.ajio.com/sole-mates-by-palak-women-embroidered-lace-up-sneakers/p/701698484_copper?,https://assets.ajio.com/medias/sys_master/root/20250608/rQHq/6845a9f17a6cd4182f8f525a/sole_mates_by_palak_copper_women_embroidered_lace-up_sneakers.jpg
Run Defy Lace-Up Sports Shoes,2797,30%,https://www.ajio.com/nike-run-defy-lace-up-sports-shoes/p/469755813_blue?,https://assets.ajio.com/medias/sys_master/root/20250620/EpTZ/6855575855340d4b4fca0795/nike_blue_run_defy_lace-up_sports_shoes.jpg
Air Force 1 '07 Lace-Up Sneakers,7495,N/A,https://www.ajio.com/nike-air-force-1-07-lace-up-sneakers/p/460886328_black?,https://assets.ajio.com/medias/sys_master/root/20241009/vWrX/67067938f9b8ef490ba83b38/nike_black_air_force_1_%2707_lace-up_sneakers.jpg
Women Embellished Lace-Up Sneakers,3188,15%,https://www.ajio.com/sole-mates-by-palak-women-embellished-lace-up-sneakers/p/701698491_copper?,https://assets.ajio.com/medias/sys_master/root/20250608/rAqr/6845a8637a6cd4182f8f156f/sole_mates_by_palak_copper_women_embellished_lace-up_sneakers.jpg
Men Promina Low-Top Training Shoes,3147,37%,https://www.ajio.com/nike-men-promina-low-top-training-shoes/p/469755781_smokeyblue?,https://assets.ajio.com/medias/sys_master/root/20250602/A2vG/683d8d3655340d4b4f7b7eb6/nike_smokey_blue_men_promina_low-top_training_shoes.jpg
Court Vision LO Low-Top Sneakers,5695,N/A,https://www.ajio.com/nike-court-vision-lo-low-top-sneakers/p/469615819_white?,https://assets.ajio.com/medias/sys_master/root/20240508/62KG/663b821f16fd2c6e6af3a5bd/nike_white_court_vision_lo_low-top_sneakers.jpg
Men Low-Top Lace-Up Sneakers,1350,82%,https://www.ajio.com/red-tape-men-low-top-lace-up-sneakers/p/700710447_white?,https://assets.ajio.com/medias/sys_master/root/20241106/QzVb/672b9d5c260f9c41e8c3d5d8/red_tape_white_%26_beige_men_low-top_lace-up_sneakers.jpg
Men Court Vision Lace-Up Sneakers,5695,N/A,https://www.ajio.com/nike-men-court-vision-lace-up-sneakers/p/469551574_white?,https://assets.ajio.com/medias/sys_master/root/20231030/vsJV/653fd0c6ddf77915196353f8/nike_white_men_court_vision_lace-up_sneakers.jpg
327 Panelled Lace-Up Sneakers,6999,30%,https://www.ajio.com/new-balance-327-panelled-lace-up-sneakers/p/460919138_seasalt?,https://assets.ajio.com/medias/sys_master/root/20240704/RFpz/668740851d763220faeb0509/new_balance_grey_327_panelled_lace-up_sneakers.jpg
Mens Majesty Sneakers,7999,N/A,https://www.ajio.com/puma-mens-majesty-sneakers/p/701938667_orange?,https://assets.ajio.com/medias/sys_master/root1/20250718/mTwm/687957b05d4cb413802dc17d/puma_warm_white-orange_poppy_mens_majesty_sneakers.jpg
Revolution 8 Running Shoes,4295,N/A,https://www.ajio.com/nike-revolution-8-running-shoes/p/469763462_green?,
Jordan Flight Court Lace-Up Sneakers,8695,N/A,https://www.ajio.com/nike-jordan-flight-court-lace-up-sneakers/p/469763440_brown?,
Men BMW MMS Inverse M4 Hero Lightweight Shoes,11999,N/A,https://www.ajio.com/puma-men-bmw-mms-inverse-m4-hero-lightweight-shoes/p/701814470_white?,
Men Low-Top Lace-Up Sneakers,1710,82%,https://www.ajio.com/red-tape-men-low-top-lace-up-sneakers/p/700710444_white?,
Promina Training Shoes,4995,N/A,https://www.ajio.com/nike-promina-training-shoes/p/469763421_blackgrey?,
Men Majesty Sneakers,7999,N/A,https://www.ajio.com/puma-men-majesty-sneakers/p/701938667_white?,
Women Sneakers Shoes,1134,82%,https://www.ajio.com/red-tape-women-sneakers-shoes/p/700700139_green?,
Rickie Lace-Up Sneakers,5999,N/A,https://www.ajio.com/puma-rickie-lace-up-sneakers/p/469582589_black?,
Men Majesty Sneakers,7999,N/A,https://www.ajio.com/puma-men-majesty-sneakers/p/701814342_white?,
Evoin Low-Top Lace-Up Running Shoes,4059,42%,https://www.ajio.com/new-balance-evoin-low-top-lace-up-running-shoes/p/469753803_blue?,
Downshifter 13 Lace-Up Running Shoes,4295,N/A,https://www.ajio.com/nike-downshifter-13-lace-up-running-shoes/p/469759339_white?,
Round-Toe Sneakers with Lace Fastening,1100,75%,https://www.ajio.com/neemans-round-toe-sneakers-with-lace-fastening-/p/467236906_grey?,
Men Sports Shoes with Synthetic Upper,4499,40%,https://www.ajio.com/asics-men-sports-shoes-with-synthetic-upper-----/p/701601080_black?,
Men Sports Shoes with Lace Fastening,1566,82%,https://www.ajio.com/red-tape-men-sports-shoes-with-lace-fastening-/p/701679643_black?,
Men Low-Top Lace-Up Sneakers,1073,71%,https://www.ajio.com/neemans-men-low-top-lace-up-sneakers-/p/700304945_green?,
Sneakers with PU upper,1278,82%,https://www.ajio.com/red-tape-sneakers-with-pu-upper/p/700765642_white?,
Men Panelled Athleisure Shoes,2484,73%,https://www.ajio.com/red-tape-men-panelled-athleisure-shoes/p/700729814_offwhite?,
Men Knitted Lace-Up Sneakers,1920,52%,https://www.ajio.com/neemans-men-knitted-lace-up-sneakers-/p/700149490_green?,
Men Round-Toe Running Sports Shoes,1596,81%,https://www.ajio.com/red-tape-men-round-toe-running-sports-shoes/p/466829259_blue?,
Men Court Shot Lace-Up Tennis Shoes,5995,N/A,https://www.ajio.com/nike-men-court-shot-lace-up-tennis-shoes/p/469759386_white?,
Men Colourblock Lace-Up Sneakers,1306,61%,https://www.ajio.com/neemans-men-colourblock-lace-up-sneakers/p/700195171_tan?,
Downshift 13 Running Shoes,4295,N/A,https://www.ajio.com/nike-downshift-13-running-shoes/p/469759336_blackgrey?,
Full Force Lo Basketball Shoes,4502,47%,https://www.ajio.com/nike-full-force-lo-basketball-shoes/p/469647544_white?,
Men Low-Top Lace-Up Sneakers,925,75%,https://www.ajio.com/neemans-men-low-top-lace-up-sneakers-/p/700314136_white?,
Men Coast Lace-Up Running Shoes,1250,75%,https://www.ajio.com/new-balance-men-coast-lace-up-running-shoes/p/469683028_blue?,
Downshifter 13 Running Shoes,4295,N/A,https://www.ajio.com/nike-downshifter-13-running-shoes/p/469581864_black?,
Women Lace-Up Sneakers Mid Tops,3188,15%,https://www.ajio.com/sole-mates-by-palak-women-lace-up-sneakers-mid-tops/p/701701377_copper?,
410 Low-Top Lace-Up Running Shoes,5219,42%,https://www.ajio.com/new-balance-410-low-top-lace-up-running-shoes/p/469759988_white?,
Defy Low-Top Running Shoes,2836,29%,https://www.ajio.com/nike-defy-low-top-running-shoes/p/469734590_black?,
Women Embroidered Lace-Up Sneakers,3909,15%,https://www.ajio.com/sole-mates-by-palak-women-embroidered-lace-up-sneakers/p/701698485_gold?,
Men Low-Top Walking Shoes,1235,81%,https://www.ajio.com/red-tape-men-low-top-walking-shoes/p/700710511_black?,
Walking Shoes with Lace Fastening,1691,81%,https://www.ajio.com/red-tape-walking-shoes-with-lace-fastening-/p/466669610_white?,
